accounting_office,accounting_office_cvr,declaration_count
2+ Revision,39701863,0
2+ Revision Grønland Statsautoriserede Revisorer ApS,42793744,0
2A Revision,37903949,0
2TalRevision,29091331,0
2TalRevision v/Jan Christensen,20935790,0
3H Revision,98088857,0
A Albrechtsen Revision,10291984,0
A Revision,18186144,0
A. Bjørn - Statsautoriseret revisionsanpartsselskab,30898664,0
A4 Revsion,29205043,0
AA revisionsanpartsselskabet,27607764,0
Aaen & Co.,33241763,10
Aage & Povl Holm,14759840,0
Aage Maagensen,12901038,15
ABL Revision,39702215,0
ABM-Revision,29234590,0
Abrahamsen Revision,41109483,0
AB-Revision,26624479,0
AC Revision - Registreret Revisionsanpartsselskab,35050469,0
Activ-Revision,90566059,0
ADDCO P/S Godkendte Revisorer,36464852,4
Addere Revision,34589992,5
Addvisers,32888658,0
Advisor-Revision,34213798,1
Advosion,37557064,0
Afrodite Hår og Trend v/Rita Truelsen,26916402,0
Agenda Revision,32160565,0
Agerbor Gruppen,31742781,0
Agillix Fmba,45000370,0
Agri Nord,29038597,0
AHJ Revision,27489559,0
A-INVEST KONTOR- OG BOGFØRINGSASSISTANCE ApS,19154807,0
aj2,21090174,0
Aktiv Regnskab og Skat,39791374,0
Aktiv Revision og Rådgivning,12488106,0
Aktiv Revision Silkeborg,14788107,0
Albjerg,35382879,4
Alexandersen Revision,11916546,0
Algade Revision,35663916,1
Alpha Revision v/Søren Nymann,38269216,0
Alt i Regnskab & Rådgivning ApS,44405016,0
Alter Audit ApS,44387263,0
Andersen,10108454,0
Andersen & Novakovic statsautoriseret revisionsanpartsselskab,44535122,0
Andersen og Partnere,26668840,0
Andersen Revision,32326706,4
Andersen Revision & Rådgivning,38347799,0
Anker Høst,31626536,0
APEX Statsautoriserede revisorer ApS,42936847,0
A-revisor,29105545,0
ARIES,26454123,0
Aros,29690065,0
Asgård Finans,26186897,0
Asla Revision,28483902,0
Asset,34901694,0
Assistance og rådgivning ApS,21821578,0
Atomwine ApS,37701424,0
Attent Statsautoriseret Revisionsanpartsselskab,36427205,0
Attiri,33357966,0
Audit Advisor ApS,46127307,0
Augusta,36445386,0
B.C. Revision,45556158,0
B.F. Rådgivning Herning,29509026,0
Baagøe Schou,21148148,7
Badsted Revision,10838576,0
Bæk Revision,16557390,0
Baker Tilly Denmark,35257691,6
Barrett revisionsanpartsselskab,28842562,0
BAYER HOLDING ApS,15202548,0
Bays Revisionskontor,20183497,0
BB Revision,27917038,0
BDO,45719375,27
Beck Mortensen Revision ApS,46505190,0
Beierholm,24207501,0
Beierholm,32895468,342
BENGT MØLLER REGISTRERET REVISOR,84473413,0
Berg Rådgivning ApS,41234253,0
Bergmann,54213255,0
Betternumbers P/S,42216011,0
BG Statsautoriserede revisorer ApS,43196863,0
BHA Statsautoriseret Revision,18967901,0
BHS,15772573,0
Bidstrup Revision,17578235,0
Bille & Buch-Andersen,18282046,6
Birkebæk Revision,16950394,0
Bisbjerg & Partners P/S,44742969,0
BJ Administration,32651674,0
BJ Regnskab,14327746,2
Bjarke Kjær,31885191,0
Bjarne Bertelsen,28711395,0
Bjarne Engbjerg-Pedersen,16579106,0
BJERGGAARD Regnskab og Rådgivning v/ Steen Bjerggaard,72715454,0
Bjørnlaursen,32671594,0
BK Revision ApS,12140363,0
BK-Revision,12967594,0
Blicher Revision & Rådgivning,78337818,9
BMM Consult,18079739,0
BN Consult,73980828,0
BN Revision,46906012,0
Bogføring / Regnskab,16942375,0
Boreco,36074981,1
Borg Revision v/Olav Borg Christensen,20938692,0
"Bornhøft & Lindemann, Registreret Revisionsanpartsselskab",41672625,0
Bornholms Landbrug & Fødevarer,29441677,0
Bornholms Revision,37858498,0
"Breindal, statsautoriseret revisionsanpartsselskab",41733950,0
Brendstrup Revision,14371435,0
Bro Søndergaard Statsautoriseret Revisionsanpartsselskab,41657332,9
Broernes Revision,27616690,0
"Broernes Revision, Reg Revisorer",14310533,0
Brønshøj Regnskab,36709030,0
Brørup Revisionskontor,13260982,0
Brun Blaa ApS,41815043,0
Buch&Nørgaard,71344517,0
Buller Tex Flemming Olsen,32560164,0
Burholt Revision,20833696,0
BUUS JENSEN I/S STATSAUTORISEREDE REVISORER,36029374,33
C&J Revision,26326931,0
Capture,28126131,0
Carsten Bjørn Jensen,25452313,0
CBK Revision,14604448,0
CCH Revision,27015476,0
CDO Revison,15897473,0
Center Revision Kjellerup,29618038,0
Centerrevision Billund,20806346,0
Centrum Revision v/ Henrik Søeborg,14548599,0
Centrum Revision V/Kurt Håkonsson,17037307,0
Christensen & Kjær,28320124,3
Christensen Kjærulff,15915641,25
City Revision,37048755,0
CJ Partnership,53375812,0
CKF Revision ApS Godkendt revisionsfirma,31782139,0
Claus Carlsen,30553535,0
Complet Revision,30077288,0
COMPTA,25072596,0
Compu Revision,15618175,1
Consens,39751445,0
Counted ApS,46110099,0
CR Revison,31115086,0
Crowe,33256876,12
CTM Revision,33160364,0
CURA Revision,34330042,0
CY Consult ApS,41474084,0
"Dahl, Rask & Partnere",10422183,0
"Dalsgaard, Stahl & Wøldike",21696382,0
Damborg Revision og Rådgivning,15710373,0
Damgaard & Enevoldsen,24257770,0
Damgaard Revision,33074441,0
Danborg Revision,27289940,0
Danica,37603686,0
Danrevi Bramming,24257614,0
Danrevi Løgstør,10019699,0
Danrevi Løgstør,27125611,0
DanRevision Statsautoriseret Revisionsanpartsselskab,41552204,0
Dansk Center Revision,94431468,0
DANSK REVISION A/S,31071097,0
Dansk Revision Aalborg,17835998,2
Dansk Revision Århus,26717671,9
Dansk Revision Brønderslev,14795707,0
Dansk Revision Esbjerg,26993695,0
Dansk Revision Frederikssund,86141019,1
Dansk Revision Hillerød,26580390,0
Dansk Revision Holbæk,28853343,2
Dansk Revision København,32671608,0
Dansk Revision Odense,82218912,1
Dansk Revision Randers,31778530,0
Dansk Revision Roskilde,14678093,3
Dansk Revision Silkeborg,21678309,0
Dansk Revision Skive,25172795,0
Dansk Revision Slagelse,29919801,3
Dansk Revision Søborg,14649905,1
Dansk Revision Sønderborg,30816471,0
Dansk Revision Tønder,33219229,0
Dansk Revision Viborg,20336390,1
Dansk Revision Wulff & Haaning,36920289,0
Dask Gruppen,13889686,0
DataBalance,32983618,0
Datarevision FRR,54504055,0
DAVS,25319435,0
De Små Revisorer ApS,41583479,0
Deko Rådgivning ApS,44387255,0
Deloitte,24213714,0
Deloitte,33963556,28
Delta Administration,13850232,0
Din Revisor,35407359,1
Din Revisor Amager ApS Godkendte revisorer,44396033,0
Din Revisor Svaneke ApS Godkendte revisorer,45016501,0
Dissing Revision,42395358,0
Djurs Revision,19713830,0
DK Ejendomsadministration & Ejendomsservice ApS,36728027,0
DLBR Revision,32451195,0
DM Revision,14569391,0
"DM Revisionsfirma af 1993, Registreret Revisionsanpartsselskab",39473321,0
Døssing & Partnere,54879911,0
DP Hillerød P/S,42491748,0
DR af 15. august 2016,75938713,0
DR Revision,36479760,1
DSH-Revision,19674193,0
"Dueholm & Partnere, Godkendt Revisionshus",21631930,0
Dupont Revision,26563976,0
Dupont Revision & Rådgivning,26887801,0
DVU,21860506,0
EBK Smørum ApS,43487469,0
EC Økonomi og regnskab,35926585,0
ECO Revision,35891986,0
Ecomentor,26063221,0
Eco-Team,27966675,6
Ecovis Danmark,28939523,6
